Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
asp;Káva;Bács-Kiskun;Bácsalmási;;;;;;;https://kava.asp.lgov.hu/nyilvantartasok
govcenter;Kecskemét;Bács-Kiskun;Kecskeméti;9297;I;149;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=149
asp;Kemse;Baranya;Sellyei;;;;;;;https://kemse.asp.lgov.hu/nyilvantartasok
asp;Kerecsend;Heves;Egri;;;;;;;https://kerecsend.asp.lgov.hu/nyilvantartasok
govcenter;Kerekegyháza;Bács-Kiskun;Kecskeméti;;;423;;2017.11.09;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=423
govcenter;Kereki;Somogy;Siófoki;;;527;;2015.12.02;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=527
asp;Keszthely;Zala;Keszthelyi;1061;I;;;2025.04.23;2025.04.23;https://keszthely.asp.lgov.hu/nyilvantartasok
asp;Kevermes;Békés;Mezőkovácsházai;;;;;;;https://kevermes.asp.lgov.hu/nyilvantartasok
asp;Királyegyháza;Baranya;Szentlőrinci;;;;;;;https://kiralyegyhaza.asp.lgov.hu/nyilvantartasok
asp;Kisbeszterce;Baranya;Hegyháti;;;;;;;https://kisbeszterce.asp.lgov.hu/nyilvantartasok
asp;Kisgyőr;Borsod-Abaúj-Zemplén;Miskolci;;;;;;;https://kisgyor.asp.lgov.hu/nyilvantartasok
asp;Kishajmás;Baranya;Hegyháti;;;;;;;https://kishajmas.asp.lgov.hu/nyilvantartasok
komdat;Kiskunhalas;Bács-Kiskun;Kiskunhalasi;;;551;7336D534-2405-41BD-89EF-BEF56D1DB569;2018.12.12;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=7336D534-2405-41BD-89EF-BEF56D1DB569
oknyir;Kismaros;Pest;Szobi;6;I;;;2022.11.03;2022.12.01;
asp;Kisnémedi;Pest;Váci;;;;;;;https://kisnemedi.asp.lgov.hu/nyilvantartasok
asp;Kisnyárád;Baranya;Mohácsi;;;;;;;https://kisnyarad.asp.lgov.hu/nyilvantartasok
asp;Kisoroszi;Pest;Szentendrei;20;I;;;2025.04.15;2025.04.23;https://kisoroszi.asp.lgov.hu/nyilvantartasok
asp;Kisrozvágy;Borsod-Abaúj-Zemplén;Cigándi;;;;;;;https://kisrozvagy.asp.lgov.hu/nyilvantartasok
komdat;Kisvejke;Tolna;Bonyhádi;;;;ba933fb2-4dcc-4a32-ab6b-e08b7c7e4e15;;;https://iparkerpublikalas.komdat.hu/?onkid=ba933fb2-4dcc-4a32-ab6b-e08b7c7e4e15
asp;Kóka;Pest;Nagykátai;;;;;;;https://koka.asp.lgov.hu/nyilvantartasok
asp;Kokad;Hajdú-Bihar;Derecskei;;;;;;;https://kokad.asp.lgov.hu/nyilvantartasok
komdat;Komló;Baranya;Komlói;1593;I;39;10ce11d8-1056-431f-be80-f7db0eb41567;2025.04.11;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=10ce11d8-1056-431f-be80-f7db0eb41567
oknyir;Kosd;Pest;Váci;;I;;;;;
oknyir;Kőröshegy;Somogy;Siófoki;;I;;;;;
asp;Köröstarcsa;Békés;Békési;;;;;;;https://korostarcsa.asp.lgov.hu/nyilvantartasok
asp inaktív;Kőszárhegy;Fejér;Székesfehérvári;6;I;;;2023.03.22;2025.04.23;https://koszarhegy.asp.lgov.hu/nyilvantartasok
asp;Kunhegyes;Jász-Nagykun-Szolnok;Kunhegyesi;;;48;;2018.01.09;2020.12.19;https://kunhegyes.asp.lgov.hu/nyilvantartasok
asp inaktív;Kunszállás;Bács-Kiskun;Kecskeméti;;;;;;2022.04.05;https://kunszallas.asp.lgov.hu/nyilvantartasok
asp;Kupa;Borsod-Abaúj-Zemplén;Szikszói;;;;;;;https://kupa.asp.lgov.hu/nyilvantartasok
asp;Ladánybene;Bács-Kiskun;Kecskeméti;;;;;;;https://ladanybene.asp.lgov.hu/nyilvantartasok
asp;Ládbesenyő;Borsod-Abaúj-Zemplén;Edelényi;;;;;;;https://ladbesenyo.asp.lgov.hu/nyilvantartasok
asp;Lajoskomárom;Fejér;Enyingi;;;;;;;https://lajoskomarom.asp.lgov.hu/nyilvantartasok
asp;Lajosmizse;Bács-Kiskun;Kecskeméti;;;;;;;https://lajosmizse.asp.lgov.hu/nyilvantartasok
asp;Leányfalu;Pest;Szentendrei;88;I;;;2024.10.21;2025.04.23;https://leanyfalu.asp.lgov.hu/nyilvantartasok
govcenter;Letkés;Pest;Szobi;;;499;;2014.07.23;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=499
oknyir;Lovas;Veszprém;Balatonfüredi;;;;;2017.04.10;2021.04.11;
asp;Lúzsok;Baranya;Sellyei;;;;;;;https://luzsok.asp.lgov.hu/nyilvantartasok
komdat;Mád;Borsod-Abaúj-Zemplén;Szerencsi;;;;ceb23ba1-47cb-4ba4-8335-aa648af8eadf;;;https://iparkerpublikalas.komdat.hu/?onkid=ceb23ba1-47cb-4ba4-8335-aa648af8eadf
asp;Madaras;Bács-Kiskun;Bácsalmási;;;;;;;https://madaras.asp.lgov.hu/nyilvantartasok
govcenter;Maglód;Pest;Vecsési;;;549;;2017.12.13;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=549
asp;Magyarszecsőd;Vas;Körmendi;;;;;;;https://magyarszecsod.asp.lgov.hu/nyilvantartasok
asp;Magyarszentmiklós;Zala;Nagykanizsai;;;;;;;https://magyarszentmiklos.asp.lgov.hu/nyilvantartasok
komdat;Maklár;Heves;Egri;;;;0ed472e6-0b08-4c6a-8117-7ab3c8c6998f;;;https://iparkerpublikalas.komdat.hu/?onkid=0ed472e6-0b08-4c6a-8117-7ab3c8c6998f
asp;Márianosztra;Pest;Szobi;;;498;;2013.03.25;2020.08.01;https://marianosztra.asp.lgov.hu/nyilvantartasok
asp;Martonvásár;Fejér;Martonvásári;158;I;;;2025.04.23;2025.04.23;https://martonvasar.asp.lgov.hu/nyilvantartasok
asp;Mátranovák;Nógrád;Bátonyterenyei;;;;;;;https://matranovak.asp.lgov.hu/nyilvantartasok
asp;Mátraszele;Nógrád;Salgótarjáni;;;;;;;https://matraszele.asp.lgov.hu/nyilvantartasok
asp inaktív;Mátraterenye;Nógrád;Bátonyterenyei;;;;;;2022.04.05;https://matraterenye.asp.lgov.hu/nyilvantartasok
asp;Medgyesegyháza;Békés;Mezőkovácsházai;;;;;;;https://medgyesegyhaza.asp.lgov.hu/nyilvantartasok
asp;Méhkerék;Békés;Sarkadi;;;;;;;https://mehkerek.asp.lgov.hu/nyilvantartasok
asp;Méhtelek;Szabolcs-Szatmár-Bereg;Fehérgyarmati;;;;;;;https://mehtelek.asp.lgov.hu/nyilvantartasok
asp;Mende;Pest;Nagykátai;;;;;;;https://mende.asp.lgov.hu/nyilvantartasok
oknyir;Mezőberény;Békés;Békési;62;I;;;2022.11.23;2022.12.01;
asp;Mezőfalva;Fejér;Dunaújvárosi;;;;;;;https://mezofalva.asp.lgov.hu/nyilvantartasok
asp;Mezőpeterd;Hajdú-Bihar;Berettyóújfalui;;;;;;;https://mezopeterd.asp.lgov.hu/nyilvantartasok
asp;Mezőtúr;Jász-Nagykun-Szolnok;Mezőtúri;;;;;;;https://mezotur.asp.lgov.hu/nyilvantartasok
asp;Mindszentgodisa;Baranya;Hegyháti;;;;;;;https://mindszentgodisa.asp.lgov.hu/nyilvantartasok
govcenter;Miskolc;Borsod-Abaúj-Zemplén;Miskolci;7815;I;305;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=305
asp;Mogyoród;Pest;Gödöllői;;;;;;;https://mogyorod.asp.lgov.hu/nyilvantartasok
govcenter;Mohács;Baranya;Mohácsi;;;35;;2019.01.09;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=35
asp;Molnaszecsőd;Vas;Körmendi;;;;;;;https://molnaszecsod.asp.lgov.hu/nyilvantartasok
asp;Monaj;Borsod-Abaúj-Zemplén;Szikszói;;;;;;;https://monaj.asp.lgov.hu/nyilvantartasok
govcenter;Monor;Pest;Monori;;;54;;2018.12.17;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=54
asp inaktív;Monostorpályi;Hajdú-Bihar;Derecskei;73;I;;;2018.02.05;2025.04.23;https://monostorpalyi.asp.lgov.hu/nyilvantartasok
oknyir;Monoszló;Veszprém;Balatonfüredi;;;;;2020.07.16;2021.04.11;
asp;Mórahalom;Csongrád-Csanád;Mórahalmi;242;I;;;2025.04.11;2025.04.23;https://morahalom.asp.lgov.hu/nyilvantartasok
oknyir;Mosonmagyaróvár;Győr-Moson-Sopron;Mosonmagyaróvári;;I;;;;;
asp;Mucsfa;Tolna;Bonyhádi;;;;;;;https://mucsfa.asp.lgov.hu/nyilvantartasok
asp;Muhi;Borsod-Abaúj-Zemplén;Tiszaújvárosi;;;;;;;https://muhi.asp.lgov.hu/nyilvantartasok
oknyir;Murony;Békés;Békési;8;I;;;2021.09.23;2022.12.01;
asp;Nagybajcs;Győr-Moson-Sopron;Győri;19;I;;;2024.03.05;2025.04.23;https://nagybajcs.asp.lgov.hu/nyilvantartasok
asp;Nagybaracska;Bács-Kiskun;Bajai;;;;;;;https://nagybaracska.asp.lgov.hu/nyilvantartasok
asp;Nagybörzsöny;Pest;Szobi;;;;;;;https://nagyborzsony.asp.lgov.hu/nyilvantartasok
asp;Nagyhegyes;Hajdú-Bihar;Hajdúszoboszlói;;;;;;;https://nagyhegyes.asp.lgov.hu/nyilvantartasok
govcenter;Nagykálló;Szabolcs-Szatmár-Bereg;Nagykállói;;;14;;2018.11.15;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=14
govcenter;Nagykanizsa;Zala;Nagykanizsai;3156;;55;;2024.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=55
asp;Nagykáta;Pest;Nagykátai;;;524;;2015.05.12;2020.08.01;https://nagykata.asp.lgov.hu/nyilvantartasok
asp;Nagykereki;Hajdú-Bihar;Berettyóújfalui;;;;;;;https://nagykereki.asp.lgov.hu/nyilvantartasok
oknyir;Nagykovácsi;Pest;Budakeszi;69;I;;;2022.11.28;2022.12.01;
asp;Nagylóc;Nógrád;Szécsényi;;;;;;;https://nagyloc.asp.lgov.hu/nyilvantartasok
oknyir;Nagymaros;Pest;Szobi;57;I;493;;2022.06.16;2022.12.01;
asp;Nagymizdó;Vas;Körmendi;;;;;;;https://nagymizdo.asp.lgov.hu/nyilvantartasok
asp;Nagyszekeres;Szabolcs-Szatmár-Bereg;Fehérgyarmati;6;I;;;2025.01.27;2025.04.23;https://nagyszekeres.asp.lgov.hu/nyilvantartasok
asp;Nagyszentjános;Győr-Moson-Sopron;Győri;;;;;;;https://nagyszentjanos.asp.lgov.hu/nyilvantartasok
komdat;Nagytálya;Heves;Egri;;;;c4992373-9063-45f0-8e20-1b35a060c2e8;;;https://iparkerpublikalas.komdat.hu/?onkid=c4992373-9063-45f0-8e20-1b35a060c2e8
asp;Nagyvejke;Tolna;Bonyhádi;;;;;;;https://nagyvejke.asp.lgov.hu/nyilvantartasok
govcenter;Nagyvisnyó;Heves;Bélapátfalvai;;;562;;2016.04.25;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=562
oknyir;Nemesgulács;Veszprém;Tapolcai;12;I;;;2022.10.07;2022.12.01;
asp;Nógrádsáp;Nógrád;Rétsági;;;;;;;https://nogradsap.asp.lgov.hu/nyilvantartasok
asp;Nyáregyháza;Pest;Monori;;;;;;;https://nyaregyhaza.asp.lgov.hu/nyilvantartasok
oknyir;Nyergesújfalu;Komárom-Esztergom;Esztergomi;90;I;;;2022.11.11;2022.12.01;
asp;Nyésta;Borsod-Abaúj-Zemplén;Szikszói;;;;;;;https://nyesta.asp.lgov.hu/nyilvantartasok
asp;Nyírábrány;Hajdú-Bihar;Nyíradonyi;;;;;;;https://nyirabrany.asp.lgov.hu/nyilvantartasok
asp;Nyíradony;Hajdú-Bihar;Nyíradonyi;;;;;;;https://nyiradony.asp.lgov.hu/nyilvantartasok
govcenter;Nyírbátor;Szabolcs-Szatmár-Bereg;Nyírbátori;;;43;;2018.01.08;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=43
oknyir;Nyíregyháza;Szabolcs-Szatmár-Bereg;Nyíregyházi;;I;;;;;
asp;Nyírmártonfalva;Nógrád;Rétsági;;;;;;;https://nyirmartonfalva.asp.lgov.hu/nyilvantartasok
oknyir;Óbudavár;Veszprém;Balatonfüredi;2;I;;;2022.08.16;2022.12.01;
asp;Olaszliszka;Borsod-Abaúj-Zemplén;Sárospataki;;;;;;;https://olaszliszka.asp.lgov.hu/nyilvantartasok
asp;Orgovány;Bács-Kiskun;Kecskeméti;80;I;;;2025.02.11;2025.04.23;https://orgovany.asp.lgov.hu/nyilvantartasok
govcenter;Oroszlány;Komárom-Esztergom;Oroszlányi;;;31;;2017.12.14;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=31
komdat;Ostoros;Heves;Egri;;;;8e939af2-e512-435f-ab3d-f9e36d480a2e;;;https://iparkerpublikalas.komdat.hu/?onkid=8e939af2-e512-435f-ab3d-f9e36d480a2e
asp inaktív;Őriszentpéter;Vas;Körmendi;32;I;;;2023.10.20;2025.04.23;https://oriszentpeter.asp.lgov.hu/nyilvantartasok
oknyir;Örvényes;Veszprém;Balatonfüredi;;;;;2020.05.19;2021.04.11;
asp inaktív;Páhi;Bács-Kiskun;Kiskőrösi;6;I;;;2020.12.21;2025.04.23;https://pahi.asp.lgov.hu/nyilvantartasok
komdat;Paks;Tolna;Paksi;;;567;42b20c23-3d1c-4e50-80dd-fd7b835551eb;2018.12.19;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=42b20c23-3d1c-4e50-80dd-fd7b835551eb
oknyir;Paloznak;Veszprém;Balatonfüredi;;I;;;2020.06.12;2021.04.11;
asp;Pánd;Pest;Monori;;;;;;;https://pand.asp.lgov.hu/nyilvantartasok
govcenter;Pápa;Veszprém;Pápai;;;478;;2019.01.10;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=478
asp;Páprád;Baranya;Sellyei;;;;;;;https://paprad.asp.lgov.hu/nyilvantartasok
komdat;Pásztó;Nógrád;Pásztói;1266;I;62;610229b1-7867-44e6-a72f-258e83025efc;2025.04.22;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=610229b1-7867-44e6-a72f-258e83025efc
govcenter;Pécs;Baranya;Pécsi;10469;I;104;;2025.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=104
oknyir;Pécsely;Veszprém;Balatonfüredi;;;;;2020.11.30;2021.04.11;
govcenter;Perbál;Pest;Budakeszi;;;469;;2017.08.22;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=469
asp;Pétfürdő;Veszprém;Várpalotai;;;;;;;https://petfurdo.asp.lgov.hu/nyilvantartasok
asp;Pilisborosjenő;Pest;Pilisvörösvári;;I;;;;;https://pilis.asp.lgov.hu/nyilvantartasok
asp;Piliscsaba;Pest;Pilisvörösvári;280;I;;;2025.04.23;2025.04.23;https://piliscsaba.asp.lgov.hu/nyilvantartasok
oknyir;Piliscsév;Komárom-Esztergom;Esztergomi;7;I;;;2022.08.26;2022.12.01;
oknyir;Pilisjászfalu;Pest;Pilisvörösvári;16;I;;;2021.11.30;2022.12.01;
asp;Pilismarót;Komárom-Esztergom;Esztergomi;32;I;;;2025.03.24;2025.04.23;https://pilismarot.asp.lgov.hu/nyilvantartasok
asp;Pilisvörösvár;Pest;Pilisvörösvári;445;I;67;;2025.04.04;2025.04.23;https://pilisvorosvar.asp.lgov.hu/nyilvantartasok
asp inaktív;Pilisszántó;Pest;Pilisvörösvári;29;I;232;;2023.05.19;2025.04.23;https://pilisszanto.asp.lgov.hu/nyilvantartasok
asp inaktív;Pilisszentiván;Pest;Pilisvörösvári;0;I;;;2022.10.05;2025.04.23;https://pilisszentivan.asp.lgov.hu/nyilvantartasok
asp inaktív;Pilisszentkereszt;Pest;Szentendrei;21;I;;;2022.11.04;2025.04.23;https://pilisszentkereszt.asp.lgov.hu/nyilvantartasok
komdat;Pirtó;Bács-Kiskun;Kiskunhalasi;;;;E0013092-A760-4B43-AF63-93FF41039F40;;;https://iparkerpublikalas.komdat.hu/?onkid=E0013092-A760-4B43-AF63-93FF41039F40
asp;Polgár;Hajdú-Bihar;Hajdúnánási;205;I;;;2025.03.31;2025.04.23;https://polgar.asp.lgov.hu/nyilvantartasok
oknyir;Polgárdi;Fejér;Székesfehérvári;31;I;;;2022.10.05;2022.12.01;
oknyir;Pomáz;Pest;Szentendrei;137;I;;;2021.01.12;2022.12.01;
komdat;Poroszló;Heves;Füzesabonyi;;;;f93466cd-4ce2-407d-acde-111a0a0485f9;;;https://iparkerpublikalas.komdat.hu/?onkid=f93466cd-4ce2-407d-acde-111a0a0485f9
govcenter;Pusztaszemes;Somogy;Siófoki;;;528;;2013.10.22;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=528
asp;Pusztavacs;Veszprém;Várpalotai;;;;;;;https://pusztavacs.asp.lgov.hu/nyilvantartasok
govcenter;Pusztavám;Fejér;Móri;;;401;;2017.10.17;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=401
komdat;Ráckeve;Pest;Ráckevei;;;66;dce178fa-ce0e-432b-9cbf-6480d771b2ff;2018.12.18;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=dce178fa-ce0e-432b-9cbf-6480d771b2ff
oknyir;Rád;Pest;Váci;;I;;;;;
asp;Ragály;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://ragaly.asp.lgov.hu/nyilvantartasok
asp;Rajka;Győr-Moson-Sopron;Mosonmagyaróvári;;;;;;;https://rajka.asp.lgov.hu/nyilvantartasok
asp;Rákóczifalva;Jász-Nagykun-Szolnok;Szolnoki;;;;;;;https://rakoczifalva.asp.lgov.hu/nyilvantartasok
asp;Réde;Komárom-Esztergom;Kisbéri;;;;;;;https://rede.asp.lgov.hu/nyilvantartasok
oknyir;Remeteszőlős;Pest;Budakeszi;2;I;501;;2021.01.12;2022.12.01;
asp;Répceszemere;Győr-Moson-Sopron;Kapuvári;;;;;;;https://repceszemere.asp.lgov.hu/nyilvantartasok
asp;Rétalap;Győr-Moson-Sopron;Győri;;;;;;;https://retalap.asp.lgov.hu/nyilvantartasok
oknyir;Rétság;Nógrád;Rétsági;;I;;;;;
asp;Ságújfalu;Nógrád;Salgótarjáni;;;;;;;https://sagujfalu.asp.lgov.hu/nyilvantartasok
asp;Sajóhídvég;Borsod-Abaúj-Zemplén;Miskolci;;;;;;;https://sajohidveg.asp.lgov.hu/nyilvantartasok
govcenter;Sajószentpéter;Borsod-Abaúj-Zemplén;Kazincbarcikai;;;45;;2017.10.17;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=45
oknyir;Salgótarján;Nógrád;Salgótarjáni;;I;;;;;
asp;Sárisáp;Komárom-Esztergom;Esztergomi;;;;;;;https://sarisap.asp.lgov.hu/nyilvantartasok
komdat;Sarud;Heves;Füzesabonyi;44;I;;15fe45b2-2c9a-43e1-b59e-385250c4d0e3;2021.11.15;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=15fe45b2-2c9a-43e1-b59e-385250c4d0e3
govcenter;Sárvár;Vas;Sárvári;;I;22;;2018.12.03;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=22
asp;Semjén;Borsod-Abaúj-Zemplén;Cigándi;;;;;;;https://semjen.asp.lgov.hu/nyilvantartasok
oknyir;Sérsekszőlős;Somogy;Tabi;2;I;;;2021.05.12;2022.12.01;
asp;Siófok;Somogy;Siófoki;2626;I;;;2025.04.23;2025.04.23;https://siofok.asp.lgov.hu/nyilvantartasok
govcenter;Sitke;Vas;Sárvári;;;68;;2017.02.01;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=68
govcenter;Soltvadkert;Bács-Kiskun;Kiskőrösi;;;32;;2018.12.21;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=32
oknyir;Solymár;Pest;Pilisvörösvári;117;I;;;2022.11.22;2022.12.01;
asp;Somogycsicsó;Somogy;Csurgói;;;;;;;https://somogycsicso.asp.lgov.hu/nyilvantartasok
asp;Somogysárd;Somogy;Kaposvári;20;I;;;2024.02.07;2025.04.23;https://somogysard.asp.lgov.hu/nyilvantartasok
oknyir;Somogyszentpál;Somogy;Marcali;;I;;;;;
asp;Somoskőújfalu;Nógrád;Salgótarjáni;;;;;;;https://somoskoujfalu.asp.lgov.hu/nyilvantartasok
govcenter;Sopron;Győr-Moson-Sopron;Soproni;4262;;584;;2022.04.13;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=584
asp;Surd;Zala;Nagykanizsai;;;;;;;https://surd.asp.lgov.hu/nyilvantartasok
asp;Sülysáp;Pest;Nagykátai;147;I;;;2025.04.23;2025.04.23;https://sulysap.asp.lgov.hu/nyilvantartasok
oknyir;Szabadbattyán;Fejér;Székesfehérvári;87;I;;;2022.10.26;2022.12.01;
asp;Szágy;Baranya;Hegyháti;;;;;;;https://szagy.asp.lgov.hu/nyilvantartasok
komdat;Szalkszentmárton;Bács-Kiskun;Kunszentmiklósi;;;;9c5c6888-7922-40f4-a1d3-8be9ce370e0e;;;https://iparkerpublikalas.komdat.hu/?onkid=9c5c6888-7922-40f4-a1d3-8be9ce370e0e
asp;Szalonna;Borsod-Abaúj-Zemplén;Edelényi;;;;;;;https://szalonna.asp.lgov.hu/nyilvantartasok
oknyir;Szántód;Somogy;Siófoki;51;I;529;;2022.12.01;2022.12.01;
govcenter;Szarvas;Békés;Szarvasi;;;20;;2018.01.01;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=20
asp;Szarvaskend;Vas;Körmendi;;;;;;;https://szarvaskend.asp.lgov.hu/nyilvantartasok
govcenter;Százhalombatta;Pest;Érdi;;I;100;;2018.12.19;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=100
oknyir;Szécsény;Nógrád;Szécsényi;;I;;;;;
asp;Szécsényfelfalu;Nógrád;Szécsényi;;;;;;;https://szecsenyfelfalu.asp.lgov.hu/nyilvantartasok
oknyir;Szeged;Csongrád-Csanád;Szegedi;;I;;;;;
komdat;Székesfehérvár;Fejér;Székesfehérvári;9485;I;;976ea49c-4fd5-4a44-91d9-ae2580f8ed46;2025.04.16;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=976ea49c-4fd5-4a44-91d9-ae2580f8ed46
asp;Szekszárd;Tolna;Szekszárdi;1792;I;;;2025.04.16;2025.04.23;https://szekszard.asp.lgov.hu/nyilvantartasok
oknyir;Szentantalfa;Veszprém;Balatonfüredi;22;I;;;2022.12.01;2022.12.01;
oknyir;Szentendre;Pest;Szentendrei;;I;;;;;
oknyir;Szentjakabfa;Veszprém;Balatonfüredi;1;I;;;2022.03.24;2022.12.01;
oknyir;Szentkirályszabadja;Veszprém;Veszprémi;9;I;;;2021.01.12;2022.12.01;
asp;Szentlőrinc;Baranya;Szentlőrinci;;;;;;;https://szentlorinc.asp.lgov.hu/nyilvantartasok
asp;Szentmártonkáta;Pest;Nagykátai;;;;;;;https://szentmartonkata.asp.lgov.hu/nyilvantartasok
asp;Szigetcsép;Pest;Ráckevei;;;;;;;https://szigetcsep.asp.lgov.hu/nyilvantartasok
asp;Szigethalom;Pest;Szigetszentmiklósi;557;I;;;2025.04.10;2025.04.23;https://szigethalom.asp.lgov.hu/nyilvantartasok
oknyir;Szigetmonostor;Pest;Szentendrei;34;I;;;2022.05.27;2022.12.01;
oknyir;Szigetszentmiklós;Pest;Szigetszentmiklósi;1076;I;53;;2022.11.28;2022.12.01;
asp;Szilsárkány;Győr-Moson-Sopron;Csornai;;;;;;;https://szilsarkany.asp.lgov.hu/nyilvantartasok
oknyir;Szilvásvárad;Heves;Bélapátfalvai;84;I;128;;2022.11.22;2022.12.01;
asp;Szob;Pest;Szobi;69;I;;;2025.03.25;2025.04.23;https://szob.asp.lgov.hu/nyilvantartasok
govcenter;Szólád;Somogy;Siófoki;;I;530;;2017.03.03;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=530
govcenter;Szolnok;Jász-Nagykun-Szolnok;Szolnoki;5423;I;15;;2025.04.22;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=15
govcenter;Szombathely;Vas;Szombathelyi;5512;I;585;;2025.04.22;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=585
oknyir;Szomód;Komárom-Esztergom;Tatai;7;I;;;2022.10.28;2022.12.01;
asp;Sződliget;Pest;Váci;105;I;370;;2025.04.02;2025.04.23;https://szodliget.asp.lgov.hu/nyilvantartasok
asp;Szuhafő;Nógrád;Szécsényi;;;;;;;https://szuhafo.asp.lgov.hu/nyilvantartasok
oknyir;Tagyon;Veszprém;Balatonfüredi;4;I;;;2022.09.07;2022.12.01;
asp;Tahitótfalu;Pest;Szentendrei;;I;;;;;https://tahitotfalu.asp.lgov.hu/nyilvantartasok
komdat;Taksony;Pest;Szigetszentmiklósi;;;398;917a50e8-7d11-4dc3-9cf7-95b82ed2a0ad;2015.04.01;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=917a50e8-7d11-4dc3-9cf7-95b82ed2a0ad
asp;Taktaharkány;Borsod-Abaúj-Zemplén;Szerencsi;;;;;;;https://taktaharkany.asp.lgov.hu/nyilvantartasok
asp;Tápióbicske;Pest;Nagykátai;;;;;;;https://tapiobicske.asp.lgov.hu/nyilvantartasok
govcenter;Tápióság;Pest;Nagykátai;;;520;;2015.02.13;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=520
govcenter;Tápiószele;Pest;Nagykátai;;;521;;2013.05.23;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=521
komdat;Tápiószőlős;Pest;Ceglédi;;;;387dcb4e-caff-4651-bf90-abc17f90a40f;;;https://iparkerpublikalas.komdat.hu/?onkid=387dcb4e-caff-4651-bf90-abc17f90a40f
asp;Tar;Nógrád;Pásztói;31;I;;;2024.08.30;2025.04.23;https://tar.asp.lgov.hu/nyilvantartasok
asp;Tárnok;Pest;Érdi;201;I;514;;2025.04.15;2025.04.23;https://tarnok.asp.lgov.hu/nyilvantartasok
komdat;Tass;Bács-Kiskun;Kunszentmiklósi;;;;0df96adb-74d4-49b1-a607-e8bfe026c664;;;https://iparkerpublikalas.komdat.hu/?onkid=0df96adb-74d4-49b1-a607-e8bfe026c664
oknyir;Tát;Komárom-Esztergom;Esztergomi;70;I;;;2022.11.09;2022.12.01;
govcenter;Tata;Komárom-Esztergom;Tatai;;;352;;2018.12.13;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=352
govcenter;Tatabánya;Komárom-Esztergom;Tatabányai;3944;I;568;;2022.01.10;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=568
