Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
asp;Berhida;Veszprém;Várpalotai;;;;7a91b926-fce3-4769-adc5-c40957654f19;;;https://berhida.asp.lgov.hu/nyilvantartasok
asp;Bernecebaráti;Pest;Szobi;;;;;;;https://bernecebarati.asp.lgov.hu/nyilvantartasok
asp;Berzék;Borsod-Abaúj-Zemplén;Miskolci;;;;;;;https://berzek.asp.lgov.hu/nyilvantartasok
asp;Berzence;Győr-Moson-Sopron;Mosonmagyaróvári;;;;;;;https://berzence.asp.lgov.hu/nyilvantartasok
asp;Besenyszög;Jász-Nagykun-Szolnok;Szolnoki;;;;;;;https://besenyszog.asp.lgov.hu/nyilvantartasok
oknyir;Biatorbágy;Pest;Sárvári;225;I;;;2021.01.12;2022.11.30;
oknyir;Bogács;Borsod-Abaúj-Zemplén;"	Mezőkövesdi";79;I;;;2022.08.17;2022.11.30;
asp;Bojt;Hajdú-Bihar;Berettyóújfalui;;;;;;;https://bojt.asp.lgov.hu/nyilvantartasok
oknyir;Bonyhád;Tolna;Sárvári;369;I;484;;2022.11.29;2022.11.30;
asp;Bozzai;Vas;Szombathelyi;;;;;;;https://bozzai.asp.lgov.hu/nyilvantartasok
komdat;Bozsok;Vas;Kőszegi;;;;7aeb631f-6fcf-47fc-8e40-8744b1717dad;;;https://iparkerpublikalas.komdat.hu/?onkid=7aeb631f-6fcf-47fc-8e40-8744b1717dad
govcenter;Bögöt;Vas;Sárvári;;;523;;2016.09.02;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=523
asp;Bőny;Győr-Moson-Sopron;Győri;;;;;;;https://bony.asp.lgov.hu/nyilvantartasok
komdat;Budajenő;Pest;Budakeszi;;;500;4d6100d2-4bca-47dc-a057-ee82b2a68733;2015.03.10;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=4d6100d2-4bca-47dc-a057-ee82b2a68733
oknyir;Budakalász;Pest;Szentendrei;184;I;;;2022.11.22;2022.11.30;
govcenter;Budakeszi;Pest;Budakeszi;;;448;;2014.12.10;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=448
govcenter;Budaörs;Pest;Budakeszi;3647;I;426;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=426
govcenter;Budapest01;Budapest;Budapest 01;4077;I;544;;2025.04.17;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=544
govcenter;Budapest02;Budapest;Budapest 02;5833;I;7;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=7
oknyir;Budapest03;Budapest;Budapest 03;2763;I;;;2022.11.29;2022.11.30;
oknyir;Budapest04;Budapest;Budapest 04;272;I;;;2022.11.23;2022.11.30;
govcenter;Budapest05;Budapest;Budapest 05;12449;I;432;;2025.04.17;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=432
